x,y
653.9913940429688,280.85556507110596
653.2411193847656,277.9534578323364
652.7853393554688,276.9836139678955
651.3557434082031,279.6809720993042
652.5839996337891,281.43691778182983
652.5494384765625,281.1654996871948
652.1678161621094,280.4072070121765
653.3179473876953,279.9248170852661
652.1218872070312,281.8080711364746
653.1336212158203,280.31691312789917
651.0623168945312,279.91355180740356
650.4436492919922,279.80860233306885
650.9281158447266,278.9128088951111
650.8310699462891,281.6552495956421
651.1500549316406,276.0747957229614
650.0449371337891,277.3046636581421
650.1021575927734,278.42567682266235
651.81640625,278.47142457962036
650.3589630126953,279.6531414985657
648.8922119140625,278.21850299835205
650.7051086425781,276.66844367980957
649.8141479492188,277.8226947784424
650.5429840087891,275.7500123977661
651.9141387939453,273.61454486846924
651.7429351806641,275.4437255859375
650.0289154052734,275.9321665763855
645.8621978759766,274.5175266265869
647.0211791992188,275.02886295318604
647.8903961181641,273.65928411483765
645.8662414550781,274.61567401885986
645.128173828125,273.73921394348145
648.248291015625,275.50676822662354
647.2949981689453,274.69669818878174
646.767578125,275.2519154548645
644.6034240722656,277.0381164550781
644.19189453125,275.02261877059937
645.7709503173828,274.28608417510986
643.8044738769531,275.4871344566345
642.5521087646484,274.7593116760254
642.8162384033203,273.35456371307373
645.1966094970703,274.29101943969727
641.552734375,272.5586986541748
643.4754180908203,275.36484718322754
642.1050262451172,274.45948362350464
645.1972198486328,273.2776379585266
644.6659851074219,270.9109425544739
644.5294189453125,270.145525932312
643.7577819824219,271.5608739852905
641.0781097412109,273.3426332473755
643.2212066650391,271.4742708206177
640.0535583496094,270.4198408126831
641.4388275146484,276.07468843460083
636.1935424804688,274.5867705345154
641.3632202148438,271.02782249450684
636.4981842041016,272.6557517051697
641.2594604492188,273.5327911376953
635.6891632080078,272.39935398101807
640.5867004394531,270.3254270553589
639.6475219726562,271.0296893119812
639.6691131591797,270.4358911514282
640.465087890625,270.57416439056396
639.8406219482422,270.84367275238037
643.1580352783203,274.18684244155884
637.7037048339844,274.16905403137207
