x,y
352.81776428222656,176.68004751205444
347.28538513183594,180.57504415512085
345.4332733154297,178.6349058151245
348.5777282714844,179.9801516532898
348.26419830322266,177.90258765220642
349.13818359375,182.07038640975952
348.61228942871094,182.34021663665771
352.5404739379883,180.50069332122803
353.96873474121094,178.84477257728577
353.63685607910156,183.00021171569824
350.6418991088867,184.5283842086792
351.46400451660156,182.45205402374268
351.3494873046875,180.70915460586548
350.9101104736328,182.4292230606079
351.42616271972656,185.06868839263916
350.8544921875,184.48866605758667
352.1916961669922,183.51925134658813
352.51697540283203,181.19360446929932
353.3006286621094,182.82151222229004
354.36485290527344,180.23360967636108
354.06227111816406,183.89922380447388
353.7110137939453,182.5386142730713
353.7580871582031,181.52480363845825
353.5118103027344,182.97268152236938
353.7579345703125,182.71400928497314
353.78013610839844,182.57835388183594
356.7530059814453,183.72586727142334
356.93042755126953,183.25165271759033
355.54576873779297,182.1395230293274
358.2600402832031,183.7540626525879
358.54881286621094,183.36814641952515
361.5724182128906,184.57091331481934
363.54209899902344,183.06638717651367
364.94361877441406,183.47734451293945
368.66722106933594,181.7930245399475
369.0860366821289,181.96020126342773
370.6243896484375,182.3497438430786
369.8475646972656,182.16404914855957
371.21055603027344,181.75349950790405
371.3033676147461,181.6376495361328
375.1927947998047,180.77897787094116
376.9906997680664,180.49766778945923
375.7427215576172,179.36553955078125
377.4415588378906,180.34969568252563
375.72994232177734,180.32619953155518
377.33787536621094,180.73726415634155
376.69151306152344,179.48349237442017
377.82039642333984,180.0587511062622
376.1085891723633,179.8959517478943
376.2068176269531,180.22680759429932
376.02745056152344,180.57832717895508
375.9022903442383,179.62515592575073
375.71216583251953,180.1929259300232
376.2317657470703,180.57227611541748
376.02386474609375,180.62585592269897
376.4657974243164,180.7847499847412
375.84022521972656,181.72579765319824
376.87400817871094,180.74151277542114
376.42372131347656,181.70358896255493
376.495361328125,182.06753253936768
376.5193176269531,179.4624423980713
378.5295867919922,180.056734085083
377.3027038574219,180.10756731033325
